proband_id,test_name,condition,phase,trialn,n,positions,symbols,correct,rt,responses,rt_first
4423,corsi,simultaneous,practice,0,2,"[(-194, -114), (255, -160), (-285, 153), (-269, -186)]",cc,1,5258,"[(0, 1081), (1, 2150)]",1081
4423,corsi,simultaneous,test,0,2,"[(153, -282), (-201, 292), (141, -30), (-130, -168)]",cc,1,2342,"[(1, 960), (0, 1170)]",960
4423,corsi,simultaneous,test,1,2,"[(-134, 7), (74, -23), (117, 278), (-212, -166)]",cc,1,3013,"[(0, 440), (1, 510)]",440
4423,corsi,simultaneous,test,2,2,"[(212, -254), (-274, 53), (59, 269), (-167, -191)]",cc,1,1772,"[(0, 900), (1, 660)]",900
4423,corsi,simultaneous,test,3,3,"[(-140, 292), (-122, -187), (17, -288), (-81, -60), (244, -219), (298, 270)]",ccc,1,2498,"[(0, 910), (1, 710), (2, 560)]",910
4423,corsi,simultaneous,test,4,3,"[(19, 212), (48, -166), (-262, -116), (208, -16), (260, -189), (-244, 30)]",ccc,1,2518,"[(2, 1050), (1, 630), (0, 520)]",1050
4423,corsi,simultaneous,test,5,3,"[(-185, 20), (219, 240), (20, 215), (25, -167), (-250, 187), (190, 141)]",ccc,1,1968,"[(2, 370), (1, 630), (0, 650)]",370
4423,corsi,simultaneous,test,6,4,"[(-154, -51), (145, 144), (293, -244), (-6, 248), (-264, 153), (-255, -295), (-51, 122), (22, -77)]",cccc,1,3785,"[(0, 810), (3, 710), (1, 620), (2, 451)]",810
4423,corsi,simultaneous,test,7,4,"[(-139, -26), (63, 131), (-163, -273), (152, 165), (-278, 37), (-22, 30), (299, -15), (114, 22)]",cccc,1,3354,"[(0, 690), (2, 480), (1, 860), (3, 340)]",690
4423,corsi,simultaneous,test,8,4,"[(-221, -190), (-228, -260), (71, -233), (-193, -95), (-60, -228), (234, -97), (287, -4), (191, 204)]",cccc,1,2734,"[(3, 810), (0, 300), (1, 300), (2, 470)]",810
4423,corsi,simultaneous,test,9,5,"[(-87, -8), (137, 236), (41, 279), (177, 47), (-274, 74), (193, -221), (-165, -51), (115, 141), (-2, -104), (-274, -174)]",ccccc,1,3197,"[(4, 880), (0, 480), (3, 430), (1, 470), (2, 410)]",880
4423,corsi,simultaneous,test,10,5,"[(-106, 180), (83, -239), (124, -167), (248, 97), (152, 229), (-190, -248), (2, -37), (-50, -190), (-184, 13), (216, -139)]",ccccc,1,3290,"[(0, 1060), (4, 390), (3, 380), (2, 600), (1, 330)]",1060
4423,corsi,simultaneous,test,11,5,"[(-175, 173), (-285, -16), (-63, 233), (22, -298), (57, -156), (92, 107), (202, -232), (-252, 118), (-153, -182), (214, 123)]",ccccc,1,3531,"[(2, 881), (0, 460), (1, 450), (4, 590), (3, 620)]",881
4423,corsi,simultaneous,test,12,6,"[(-159, 105), (238, 16), (-231, 219), (39, -80), (-56, -125), (-14, -298), (73, 31), (-136, 180), (243, -71), (-46, 225), (-251, -200), (98, 240)]",cccccc,1,3797,"[(2, 1120), (0, 320), (1, 480), (3, 410), (4, 440), (5, 390)]",1120
4423,corsi,simultaneous,test,13,6,"[(-161, -218), (22, 270), (-152, 132), (-64, -96), (124, -224), (-255, 231), (131, -126), (275, 250), (-18, -167), (-250, 161), (-9, 41), (131, 273)]",cccccc,0,5937,"[(3, 970), (2, 470), (1, 621), (5, 520), (0, 470), (6, 2250)]",970
4423,corsi,simultaneous,test,14,6,"[(172, 284), (-139, 77), (-89, -61), (-36, -191), (297, 53), (174, -254), (-37, -271), (50, -134), (298, 279), (63, 224), (-276, -128), (168, -6)]",cccccc,1,3407,"[(1, 651), (2, 350), (3, 360), (0, 620), (4, 370), (5, 420)]",651
4423,corsi,simultaneous,test,15,7,"[(-231, 39), (218, -88), (-293, -156), (-224, -255), (110, 37), (-96, 182), (-99, -237), (154, -211), (169, 194), (74, 256), (14, -236), (-134, 270), (184, 55), (-92, 106)]",ccccccc,1,6604,"[(5, 951), (0, 520), (4, 500), (1, 480), (2, 510), (6, 520), (3, 2380)]",951
4423,corsi,simultaneous,test,16,7,"[(-242, -57), (199, 214), (18, 34), (243, -82), (-100, 230), (-247, 69), (127, -4), (-98, -65), (143, -253), (-44, -232), (-226, -146), (46, -64), (-19, 214), (-206, -222)]",ccccccc,0,5992,"[(4, 920), (5, 380), (1, 620), (2, 440), (6, 370), (3, 370), (11, 420)]",920
4423,corsi,simultaneous,test,17,7,"[(-6, 15), (148, -42), (23, 175), (-78, -150), (217, -204), (193, 73), (-299, 173), (288, -80), (23, 285), (-139, -266), (-232, -148), (-270, -34), (-161, 235), (5, -153)]",ccccccc,0,6193,"[(6, 1120), (5, 710), (0, 410), (3, 410), (1, 670), (4, 310), (12, 1050)]",1120
