proband_id,test_name,phase,trial_type,n,rsp,corr,rt,total_time
4273,ctrails,number,practice,0,1,Correct,2790,10274
4273,ctrails,number,practice,1,2,Correct,1710,10274
4273,ctrails,number,practice,2,3,Correct,1020,10274
4273,ctrails,number,practice,3,4,Correct,1150,10274
4273,ctrails,number,practice,4,5,Correct,580,10274
4273,ctrails,number,practice,5,6,Correct,1130,10274
4273,ctrails,number,practice,6,7,Correct,911,10274
4273,ctrails,number,practice,7,8,Correct,940,10274
4273,ctrails,number,test,0,1,Correct,1380,39815
4273,ctrails,number,test,1,2,Correct,3831,39815
4273,ctrails,number,test,2,3,Correct,2580,39815
4273,ctrails,number,test,3,4,Correct,1460,39815
4273,ctrails,number,test,4,5,Correct,2690,39815
4273,ctrails,number,test,5,6,Correct,1420,39815
4273,ctrails,number,test,6,7,Correct,1250,39815
4273,ctrails,number,test,7,8,Correct,1150,39815
4273,ctrails,number,test,8,9,Correct,1220,39815
4273,ctrails,number,test,9,10,Correct,1080,39815
4273,ctrails,number,test,10,11,Correct,1040,39815
4273,ctrails,number,test,11,12,Correct,740,39815
4273,ctrails,number,test,12,13,Correct,880,39815
4273,ctrails,number,test,13,14,Correct,1231,39815
4273,ctrails,number,test,14,15,Correct,910,39815
4273,ctrails,number,test,15,16,Correct,620,39815
4273,ctrails,number,test,16,17,Correct,1300,39815
4273,ctrails,number,test,17,18,Correct,1360,39815
4273,ctrails,number,test,18,19,Correct,2300,39815
4273,ctrails,number,test,19,20,Correct,850,39815
4273,ctrails,number,test,20,21,Correct,1290,39815
4273,ctrails,number,test,21,22,Correct,1980,39815
4273,ctrails,number,test,22,23,Correct,3220,39815
4273,ctrails,number,test,23,24,Correct,3120,39815
4273,ctrails,number,test,24,25,Correct,811,39815
4273,ctrails,letter,practice,0,a,Correct,1770,9772
4273,ctrails,letter,practice,1,b,Correct,1000,9772
4273,ctrails,letter,practice,2,c,Correct,1070,9772
4273,ctrails,letter,practice,3,d,Correct,1260,9772
4273,ctrails,letter,practice,4,e,Correct,890,9772
4273,ctrails,letter,practice,5,f,Correct,1130,9772
4273,ctrails,letter,practice,6,g,Correct,1430,9772
4273,ctrails,letter,practice,7,h,Correct,1180,9772
4273,ctrails,letter,test,0,a,Correct,2590,37553
4273,ctrails,letter,test,1,b,Correct,3280,37553
4273,ctrails,letter,test,2,c,Correct,1930,37553
4273,ctrails,letter,test,3,d,Correct,1310,37553
4273,ctrails,letter,test,4,e,Correct,790,37553
4273,ctrails,letter,test,5,f,Correct,751,37553
