proband_id,test_name,phase,trialn,digit,symbol,ans,f,rsp,rt
4273,digit_symbol,practice,0,2,2,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym2.bmp,Yes,9570
4273,digit_symbol,practice,1,6,6,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym6.bmp,Yes,2710
4273,digit_symbol,practice,2,8,4,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym4.bmp,Yes,2080
4273,digit_symbol,practice,3,4,4,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym4.bmp,Yes,3330
4273,digit_symbol,practice,4,7,7,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym7.bmp,Yes,2020
4273,digit_symbol,practice,5,6,5,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym5.bmp,Yes,1590
4273,digit_symbol,practice,6,2,8,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym8.bmp,Yes,2991
4273,digit_symbol,practice,7,9,2,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym2.bmp,Yes,2990
4273,digit_symbol,practice,8,3,7,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym7.bmp,No,7100
4273,digit_symbol,practice,9,5,6,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym6.bmp,No,2851
4273,digit_symbol,test,0,8,8,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym8.bmp,Yes,3006
4273,digit_symbol,test,1,1,4,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym4.bmp,No,5003
4273,digit_symbol,test,2,2,8,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym8.bmp,No,2303
4273,digit_symbol,test,3,6,2,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym2.bmp,No,1503
4273,digit_symbol,test,4,4,4,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym4.bmp,Yes,1703
4273,digit_symbol,test,5,9,5,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym5.bmp,No,2704
4273,digit_symbol,test,6,5,6,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym6.bmp,No,3703
4273,digit_symbol,test,7,3,3,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym3.bmp,Yes,2703
4273,digit_symbol,test,8,4,4,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym4.bmp,Yes,2303
4273,digit_symbol,test,9,9,9,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym9.bmp,Yes,1903
4273,digit_symbol,test,10,6,6,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym6.bmp,Yes,2403
4273,digit_symbol,test,11,1,1,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym1.bmp,Yes,3304
4273,digit_symbol,test,12,2,2,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym2.bmp,Yes,2603
4273,digit_symbol,test,13,7,7,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym7.bmp,Yes,3103
4273,digit_symbol,test,14,3,3,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym3.bmp,Yes,2103
4273,digit_symbol,test,15,8,8,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym8.bmp,Yes,6703
4273,digit_symbol,test,16,7,7,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym7.bmp,Yes,7204
4273,digit_symbol,test,17,5,3,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym3.bmp,No,3803
4273,digit_symbol,test,18,1,5,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym5.bmp,Yes,3403
4273,digit_symbol,test,19,4,4,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym4.bmp,Yes,2403
4273,digit_symbol,test,20,7,8,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym8.bmp,No,2304
4273,digit_symbol,test,21,4,4,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym4.bmp,Yes,1603
4273,digit_symbol,test,22,8,8,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym8.bmp,Yes,3403
4273,digit_symbol,test,23,3,3,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym3.bmp,Yes,1604
4273,digit_symbol,test,24,5,5,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym5.bmp,Yes,1603
4273,digit_symbol,test,25,3,1,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym1.bmp,No,2602
4273,digit_symbol,test,26,6,9,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym9.bmp,Yes,1903
4273,digit_symbol,test,27,2,2,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym2.bmp,Yes,3704
4273,digit_symbol,test,28,8,8,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym8.bmp,Yes,2503
4307,digit_symbol,practice,0,2,2,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym2.bmp,Yes,8170
4307,digit_symbol,practice,1,6,6,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym6.bmp,Yes,1660
4307,digit_symbol,practice,2,8,4,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym4.bmp,No,2680
4307,digit_symbol,practice,3,4,4,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym4.bmp,Yes,2671
4307,digit_symbol,practice,4,7,7,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym7.bmp,Yes,1440
4307,digit_symbol,practice,5,6,5,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym5.bmp,No,2210
4307,digit_symbol,practice,6,2,8,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym8.bmp,No,2290
4307,digit_symbol,practice,7,9,2,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym2.bmp,No,2390
4307,digit_symbol,practice,8,3,7,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym7.bmp,No,2070
4307,digit_symbol,practice,9,5,6,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym6.bmp,No,1880
4307,digit_symbol,test,0,8,8,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym8.bmp,Yes,2256
