proband_id,test_name,phase,trialn,f,ans,rsp,rt
4273,face_memory,learning,0,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar01.bmp,,n/a,0
4273,face_memory,learning,1,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar02.bmp,,n/a,0
4273,face_memory,learning,2,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar03.bmp,,n/a,0
4273,face_memory,learning,3,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar04.bmp,,n/a,0
4273,face_memory,learning,4,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar05.bmp,,n/a,0
4273,face_memory,learning,5,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar06.bmp,,n/a,0
4273,face_memory,learning,6,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar07.bmp,,n/a,0
4273,face_memory,learning,7,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar08.bmp,,n/a,0
4273,face_memory,learning,8,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar09.bmp,,n/a,0
4273,face_memory,learning,9,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar10.bmp,,n/a,0
4273,face_memory,learning,10,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar11.bmp,,n/a,0
4273,face_memory,learning,11,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar12.bmp,,n/a,0
4273,face_memory,learning,12,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar13.bmp,,n/a,0
4273,face_memory,learning,13,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar14.bmp,,n/a,0
4273,face_memory,learning,14,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar15.bmp,,n/a,0
4273,face_memory,learning,15,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar16.bmp,,n/a,0
4273,face_memory,learning,16,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar17.bmp,,n/a,0
4273,face_memory,learning,17,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar18.bmp,,n/a,0
4273,face_memory,learning,18,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar19.bmp,,n/a,0
4273,face_memory,learning,19,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar20.bmp,,n/a,0
4273,face_memory,test,0,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\idis04.bmp,No,No,2080
4273,face_memory,test,1,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar20.bmp,Yes,Yes,970
4273,face_memory,test,2,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\idis01.bmp,No,No,1030
4273,face_memory,test,3,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\idis05.bmp,No,No,850
4273,face_memory,test,4,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\idis16.bmp,No,Yes,1030
4273,face_memory,test,5,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar17.bmp,Yes,Yes,920
4273,face_memory,test,6,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar09.bmp,Yes,No,1370
4273,face_memory,test,7,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\idis11.bmp,No,No,1030
4273,face_memory,test,8,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\idis06.bmp,No,No,1340
4273,face_memory,test,9,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\idis15.bmp,No,Yes,1121
4273,face_memory,test,10,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\idis14.bmp,No,No,1190
4273,face_memory,test,11,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar06.bmp,Yes,No,1060
4273,face_memory,test,12,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\idis02.bmp,No,No,970
4273,face_memory,test,13,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\idis13.bmp,No,No,1190
4273,face_memory,test,14,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\idis18.bmp,No,No,980
4273,face_memory,test,15,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar01.bmp,Yes,Yes,1000
4273,face_memory,test,16,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar08.bmp,Yes,No,1030
4273,face_memory,test,17,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar12.bmp,Yes,No,1130
4273,face_memory,test,18,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\idis20.bmp,No,No,870
4273,face_memory,test,19,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar02.bmp,Yes,Yes,860
4273,face_memory,test,20,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar11.bmp,Yes,Yes,830
4273,face_memory,test,21,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar19.bmp,Yes,Yes,880
4273,face_memory,test,22,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar15.bmp,Yes,Yes,960
4273,face_memory,test,23,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar10.bmp,Yes,No,940
4273,face_memory,test,24,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\idis07.bmp,No,No,921
4273,face_memory,test,25,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\idis09.bmp,No,No,880
4273,face_memory,test,26,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\idis12.bmp,No,No,1090
4273,face_memory,test,27,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\idis17.bmp,No,No,810
4273,face_memory,test,28,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar07.bmp,Yes,No,860
4273,face_memory,test,29,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\idis19.bmp,No,No,880
4273,face_memory,test,30,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar18.bmp,Yes,Yes,1060
4273,face_memory,test,31,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar03.bmp,Yes,No,770
4273,face_memory,test,32,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar14.bmp,Yes,No,860
4273,face_memory,test,33,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar05.bmp,Yes,Yes,980
4273,face_memory,test,34,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\idis10.bmp,No,No,860
4273,face_memory,test,35,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\idis08.bmp,No,Yes,780
4273,face_memory,test,36,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar16.bmp,Yes,Yes,1230
4273,face_memory,test,37,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar04.bmp,Yes,Yes,1700
4273,face_memory,test,38,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\idis03.bmp,No,No,3741
4273,face_memory,test,39,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar13.bmp,Yes,Yes,2850
4307,face_memory,learning,0,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar01.bmp,,n/a,0
4307,face_memory,learning,1,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar02.bmp,,n/a,0
4307,face_memory,learning,2,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar03.bmp,,n/a,0
4307,face_memory,learning,3,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar04.bmp,,n/a,0
4307,face_memory,learning,4,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar05.bmp,,n/a,0
4307,face_memory,learning,5,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar06.bmp,,n/a,0
4307,face_memory,learning,6,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar07.bmp,,n/a,0
4307,face_memory,learning,7,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar08.bmp,,n/a,0
4307,face_memory,learning,8,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar09.bmp,,n/a,0
4307,face_memory,learning,9,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar10.bmp,,n/a,0
4307,face_memory,learning,10,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar11.bmp,,n/a,0
4307,face_memory,learning,11,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar12.bmp,,n/a,0
4307,face_memory,learning,12,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar13.bmp,,n/a,0
4307,face_memory,learning,13,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar14.bmp,,n/a,0
4307,face_memory,learning,14,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar15.bmp,,n/a,0
4307,face_memory,learning,15,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar16.bmp,,n/a,0
4307,face_memory,learning,16,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar17.bmp,,n/a,0
4307,face_memory,learning,17,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar18.bmp,,n/a,0
4307,face_memory,learning,18,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar19.bmp,,n/a,0
4307,face_memory,learning,19,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar20.bmp,,n/a,0
