proband_id,test_name,phase,trialn,f,ans,rsp,rt
4273,face_memory_delay,test,0,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\ddis10.bmp,No,Yes,1480
4273,face_memory_delay,test,1,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\ddis04.bmp,No,Yes,971
4273,face_memory_delay,test,2,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\tar07.bmp,Yes,No,700
4273,face_memory_delay,test,3,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\tar18.bmp,Yes,Yes,710
4273,face_memory_delay,test,4,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\ddis14.bmp,No,Yes,670
4273,face_memory_delay,test,5,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\tar19.bmp,Yes,Yes,660
4273,face_memory_delay,test,6,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\ddis13.bmp,No,No,830
4273,face_memory_delay,test,7,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\tar15.bmp,Yes,Yes,770
4273,face_memory_delay,test,8,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\tar11.bmp,Yes,Yes,980
4273,face_memory_delay,test,9,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\ddis05.bmp,No,No,551
4273,face_memory_delay,test,10,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\ddis01.bmp,No,No,960
4273,face_memory_delay,test,11,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\ddis16.bmp,No,No,840
4273,face_memory_delay,test,12,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\tar02.bmp,Yes,Yes,760
4273,face_memory_delay,test,13,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\tar08.bmp,Yes,Yes,900
4273,face_memory_delay,test,14,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\tar13.bmp,Yes,Yes,750
4273,face_memory_delay,test,15,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\tar20.bmp,Yes,Yes,830
4273,face_memory_delay,test,16,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\ddis18.bmp,No,No,650
4273,face_memory_delay,test,17,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\tar06.bmp,Yes,No,750
4273,face_memory_delay,test,18,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\ddis07.bmp,No,No,710
4273,face_memory_delay,test,19,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\ddis08.bmp,No,No,750
4273,face_memory_delay,test,20,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\tar12.bmp,Yes,Yes,1281
4273,face_memory_delay,test,21,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\ddis17.bmp,No,Yes,750
4273,face_memory_delay,test,22,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\tar05.bmp,Yes,Yes,2170
4273,face_memory_delay,test,23,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\tar10.bmp,Yes,Yes,950
4273,face_memory_delay,test,24,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\ddis02.bmp,No,No,2170
4273,face_memory_delay,test,25,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\ddis20.bmp,No,No,3800
4273,face_memory_delay,test,26,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\tar17.bmp,Yes,Yes,650
4273,face_memory_delay,test,27,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\ddis15.bmp,No,No,740
4273,face_memory_delay,test,28,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\tar03.bmp,Yes,No,860
4273,face_memory_delay,test,29,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\ddis19.bmp,No,Yes,540
4273,face_memory_delay,test,30,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\ddis12.bmp,No,No,640
4273,face_memory_delay,test,31,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\tar16.bmp,Yes,No,740
4273,face_memory_delay,test,32,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\tar09.bmp,Yes,Yes,470
4273,face_memory_delay,test,33,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\ddis09.bmp,No,Yes,881
4273,face_memory_delay,test,34,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\tar01.bmp,Yes,No,710
4273,face_memory_delay,test,35,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\ddis11.bmp,No,Yes,400
4273,face_memory_delay,test,36,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\ddis03.bmp,No,Yes,340
4273,face_memory_delay,test,37,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\tar04.bmp,Yes,Yes,650
4273,face_memory_delay,test,38,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\tar14.bmp,Yes,Yes,760
4273,face_memory_delay,test,39,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\ddis06.bmp,No,Yes,520
4307,face_memory_delay,test,0,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\ddis10.bmp,No,No,2220
4307,face_memory_delay,test,1,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\ddis04.bmp,No,No,970
4307,face_memory_delay,test,2,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\tar07.bmp,Yes,Yes,740
4307,face_memory_delay,test,3,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\tar18.bmp,Yes,Yes,680
4307,face_memory_delay,test,4,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\ddis14.bmp,No,Yes,1811
4307,face_memory_delay,test,5,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\tar19.bmp,Yes,Yes,1120
4307,face_memory_delay,test,6,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\ddis13.bmp,No,No,870
4307,face_memory_delay,test,7,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\tar15.bmp,Yes,Yes,1450
4307,face_memory_delay,test,8,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\tar11.bmp,Yes,Yes,690
4307,face_memory_delay,test,9,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\ddis05.bmp,No,No,950
4307,face_memory_delay,test,10,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\ddis01.bmp,No,No,880
4307,face_memory_delay,test,11,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\ddis16.bmp,No,No,900
4307,face_memory_delay,test,12,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\tar02.bmp,Yes,Yes,1090
4307,face_memory_delay,test,13,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\tar08.bmp,Yes,Yes,880
4307,face_memory_delay,test,14,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\tar13.bmp,Yes,No,1060
4307,face_memory_delay,test,15,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\tar20.bmp,Yes,Yes,1280
4307,face_memory_delay,test,16,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\ddis18.bmp,No,No,1050
4307,face_memory_delay,test,17,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\tar06.bmp,Yes,Yes,1070
4307,face_memory_delay,test,18,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\ddis07.bmp,No,No,810
4307,face_memory_delay,test,19,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\ddis08.bmp,No,Yes,1190
4307,face_memory_delay,test,20,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\tar12.bmp,Yes,Yes,790
4307,face_memory_delay,test,21,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\ddis17.bmp,No,No,1420
4307,face_memory_delay,test,22,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\tar05.bmp,Yes,Yes,720
4307,face_memory_delay,test,23,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\tar10.bmp,Yes,No,1030
4307,face_memory_delay,test,24,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\ddis02.bmp,No,No,940
4307,face_memory_delay,test,25,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory_delay\ddis20.bmp,No,Yes,840
