proband_id,test_name,phase,trialn,posx,posy,dposx,dposy,rsp,rt,total_time
4273,orientation,first,0,44,-336,233,131,0,1740,1748
4273,orientation,first,1,291,-190,310,-249,0,1410,3165
4273,orientation,first,2,174,158,-198,-147,0,1000,4171
4273,orientation,first,3,249,-155,-163,283,0,1150,5327
4273,orientation,first,4,144,171,260,315,0,1030,6363
4273,orientation,first,5,292,-24,-346,-300,0,1140,7509
4273,orientation,first,6,-136,-184,174,-307,0,1720,9235
4273,orientation,first,7,-314,-191,209,-166,0,450,10881
4273,orientation,first,8,76,54,-282,128,0,1470,12356
4273,orientation,first,9,-192,168,124,-343,0,1350,13711
4273,orientation,last,0,-31,-224,233,131,0,1621,1632
4273,orientation,last,1,-273,-68,310,-249,0,950,2585
4273,orientation,last,2,178,207,-198,-147,0,990,3579
4273,orientation,last,3,40,-55,-163,283,0,1090,4676
4273,orientation,last,4,-241,-116,260,315,0,1070,5753
4273,orientation,last,5,-95,-43,-346,-300,0,740,6500
4273,orientation,last,6,287,199,174,-307,0,2140,8647
4273,orientation,last,7,124,321,209,-166,0,1010,9664
4273,orientation,last,8,-123,133,-282,128,0,1340,11012
4273,orientation,last,9,138,284,124,-343,0,1440,12459
4307,orientation,first,0,347,316,92,-310,0,1030,1038
4307,orientation,first,1,-5,172,300,-309,0,840,1884
4307,orientation,first,2,138,-67,380,-18,0,840,2730
4307,orientation,first,3,-11,-165,-387,-47,0,690,3426
4307,orientation,first,4,211,-216,-186,-385,0,630,4062
4307,orientation,first,5,205,-348,-189,-153,0,680,4748
4307,orientation,first,6,-209,-253,361,125,0,800,5554
4307,orientation,first,7,-358,-211,-311,104,0,700,6260
4307,orientation,first,8,-43,-37,-231,247,0,930,7196
4307,orientation,first,9,122,-264,-71,-192,0,940,8141
4307,orientation,last,0,298,-88,92,-310,0,730,737
4307,orientation,last,1,-77,36,300,-309,0,840,1585
4307,orientation,last,2,98,73,380,-18,0,700,2292
4307,orientation,last,3,244,187,-387,-47,0,810,3109
4307,orientation,last,4,33,169,-186,-385,0,730,3846
4307,orientation,last,5,146,341,-189,-153,0,750,4603
4307,orientation,last,6,-136,336,361,125,0,700,5310
4307,orientation,last,7,-147,201,-311,104,0,690,6007
4307,orientation,last,8,-294,-102,-231,247,0,1060,7074
4307,orientation,last,9,-33,-313,-71,-192,0,890,7972
4346,orientation,first,0,44,-336,233,131,0,1400,1408
4346,orientation,first,1,291,-190,310,-249,0,1000,2415
4346,orientation,first,2,174,158,-198,-147,0,1171,3592
4346,orientation,first,3,249,-155,-163,283,0,1220,4818
4346,orientation,first,4,144,171,260,315,0,1210,6034
4346,orientation,first,5,292,-24,-346,-300,0,1240,7280
4346,orientation,first,6,-136,-184,174,-307,0,990,8276
4346,orientation,first,7,-314,-191,209,-166,0,1060,9342
4346,orientation,first,8,76,54,-282,128,0,1170,10518
4346,orientation,first,9,-192,168,124,-343,0,1190,11714
4346,orientation,last,0,-31,-224,233,131,0,1060,1069
4346,orientation,last,1,-273,-68,310,-249,0,1140,2214
4346,orientation,last,2,178,207,-198,-147,0,1210,3431
4346,orientation,last,3,40,-55,-163,283,0,1160,4598
4346,orientation,last,4,-241,-116,260,315,0,1200,5805
4346,orientation,last,5,-95,-43,-346,-300,0,1060,6872
4346,orientation,last,6,287,199,174,-307,0,1300,8179
4346,orientation,last,7,124,321,209,-166,0,941,9127
4346,orientation,last,8,-123,133,-282,128,0,1180,10315
4346,orientation,last,9,138,284,124,-343,0,1390,11713
4365,orientation,first,0,44,-336,233,131,0,840,848
4365,orientation,first,1,291,-190,310,-249,0,660,1514
4365,orientation,first,2,174,158,-198,-147,0,950,2470
4365,orientation,first,3,249,-155,-163,283,0,1090,3566
4365,orientation,first,4,144,171,260,315,0,770,4342
4365,orientation,first,5,292,-24,-346,-300,0,670,5018
4365,orientation,first,6,-136,-184,174,-307,0,740,5763
4365,orientation,first,7,-314,-191,209,-166,0,690,6458
4365,orientation,first,8,76,54,-282,128,0,990,7453
4365,orientation,first,9,-192,168,124,-343,0,770,8228
4365,orientation,last,0,-31,-224,233,131,0,1350,1359
4365,orientation,last,1,-273,-68,310,-249,0,820,2187
4365,orientation,last,2,178,207,-198,-147,0,1340,3534
4365,orientation,last,3,40,-55,-163,283,0,1000,4541
4365,orientation,last,4,-241,-116,260,315,0,1280,5828
4365,orientation,last,5,-95,-43,-346,-300,0,710,6545
4365,orientation,last,6,287,199,174,-307,0,850,7402
4365,orientation,last,7,124,321,209,-166,0,1040,8450
4365,orientation,last,8,-123,133,-282,128,0,861,9319
4365,orientation,last,9,138,284,124,-343,0,960,10287
4367,orientation,first,0,44,-336,233,131,0,8990,8998
4367,orientation,first,1,291,-190,310,-249,0,2110,11115
4367,orientation,first,2,174,158,-198,-147,0,2901,14022
4367,orientation,first,3,249,-155,-163,283,0,3101,17129
4367,orientation,first,4,144,171,260,315,0,3180,20315
4367,orientation,first,5,292,-24,-346,-300,0,2900,23221
4367,orientation,first,6,-136,-184,174,-307,0,3300,26527
4367,orientation,first,7,-314,-191,209,-166,0,1841,30244
4367,orientation,first,8,76,54,-282,128,0,3430,33680
4367,orientation,first,9,-192,168,124,-343,0,3160,36846
4367,orientation,last,0,-31,-224,233,131,0,2970,2976
4367,orientation,last,1,-273,-68,310,-249,0,2510,5494
4367,orientation,last,2,178,207,-198,-147,0,2700,8202
4367,orientation,last,3,40,-55,-163,283,0,1851,10061
4367,orientation,last,4,-241,-116,260,315,0,2530,12598
