proband_id,test_name,phase,trialn,task,pos,dir,switch,cong,f,ans,rsp,rt
4273,switching,practice,0,Position,Left,Right,n/a,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_blue_right.png,Left,Left,5880
4273,switching,practice,1,Position,Left,Right,Non-switch,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_blue_right.png,Left,Left,1361
4273,switching,practice,2,Direction,Left,Right,Switch,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_red_right.png,Right,Right,1290
4273,switching,practice,3,Direction,Right,Left,Non-switch,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_red_left.png,Left,Left,1000
4273,switching,practice,4,Position,Right,Right,Switch,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_blue_right.png,Right,Right,740
4273,switching,practice,5,Position,Right,Left,Non-switch,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_blue_left.png,Right,Left,590
4273,switching,practice,6,Direction,Left,Left,Switch,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_red_left.png,Left,Left,6020
4273,switching,practice,7,Direction,Right,Left,Non-switch,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_red_left.png,Left,Left,650
4273,switching,practice,8,Position,Left,Left,Switch,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_blue_left.png,Left,Left,700
4273,switching,predictable,0,Position,Left,Left,n/a,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_blue_left.png,Left,Left,1280
4273,switching,predictable,1,Position,Left,Left,Non-switch,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_blue_left.png,Left,Left,870
4273,switching,predictable,2,Direction,Left,Left,Switch,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_red_left.png,Left,Left,840
4273,switching,predictable,3,Direction,Right,Right,Non-switch,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_red_right.png,Right,Right,570
4273,switching,predictable,4,Position,Left,Right,Switch,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_blue_right.png,Left,Right,3661
4273,switching,predictable,5,Position,Left,Right,Non-switch,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_blue_right.png,Left,Left,1850
4273,switching,predictable,6,Direction,Right,Right,Switch,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_red_right.png,Right,Right,1000
4273,switching,predictable,7,Direction,Left,Right,Non-switch,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_red_right.png,Right,Right,1800
4273,switching,predictable,8,Position,Right,Right,Switch,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_blue_right.png,Right,Right,780
4273,switching,predictable,9,Position,Right,Right,Non-switch,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_blue_right.png,Right,Right,1880
