proband_id,test_name,phase,trial_type,rt,nerrors
4273,trails,number,practice,6680,0
4273,trails,number,test,20890,0
4273,trails,letter,practice,6050,0
4273,trails,letter,test,21740,0
4273,trails,number-letter,practice,6140,0
4273,trails,number-letter,test,141590,1
4307,trails,number,practice,5700,0
4307,trails,number,test,32050,0
4307,trails,letter,practice,6020,0
4307,trails,letter,test,31040,0
4307,trails,number-letter,practice,10030,0
4307,trails,number-letter,test,65650,0
4346,trails,number,practice,3440,0
4346,trails,number,test,33700,0
4346,trails,letter,practice,2450,0
4346,trails,letter,test,20620,1
4346,trails,number-letter,practice,3080,0
4346,trails,number-letter,test,46510,1
4365,trails,number,practice,96890,0
4365,trails,number,test,55140,0
4365,trails,letter,practice,71010,1
4365,trails,letter,test,70700,0
4365,trails,number-letter,practice,73020,1
4365,trails,number-letter,test,49780,1
4367,trails,number,practice,17800,0
4367,trails,number,test,75710,0
4367,trails,letter,practice,18790,0
4367,trails,letter,test,75230,0
4367,trails,number-letter,practice,52630,3
4367,trails,number-letter,test,176900,0
4368,trails,number,practice,12960,0
4368,trails,number,test,79750,0
4368,trails,letter,practice,11540,0
4368,trails,letter,test,106750,3
4368,trails,number-letter,practice,18660,0
4368,trails,number-letter,test,223450,4
4369,trails,number,practice,6830,0
4369,trails,number,test,26790,0
4369,trails,letter,practice,7380,0
4369,trails,letter,test,24310,0
4369,trails,number-letter,practice,9240,0
4369,trails,number-letter,test,67620,0
4370,trails,number,practice,11080,0
4370,trails,number,test,48990,0
4370,trails,letter,practice,9180,0
4370,trails,letter,test,37630,0
4370,trails,number-letter,practice,6880,0
4370,trails,number-letter,test,302450,0
4371,trails,number,practice,14160,0
4371,trails,number,test,63990,0
4371,trails,letter,practice,6870,0
4371,trails,letter,test,52950,2
4371,trails,number-letter,practice,53620,4
4371,trails,number-letter,test,1140,99
4372,trails,number,practice,11000,0
4372,trails,number,test,32970,0
4372,trails,letter,practice,6630,0
4372,trails,letter,test,31550,0
4372,trails,number-letter,practice,8450,0
4372,trails,number-letter,test,49770,0
4373,trails,number,practice,8040,0
4373,trails,number,test,42070,0
4373,trails,letter,practice,4600,0
4373,trails,letter,test,32910,0
4373,trails,number-letter,practice,6230,0
4373,trails,number-letter,test,66270,0
4374,trails,number,practice,11430,0
4374,trails,number,test,62830,0
4374,trails,letter,practice,10670,0
4374,trails,letter,test,65220,0
4374,trails,number-letter,practice,11590,0
4374,trails,number-letter,test,155460,2
4375,trails,number,practice,8240,0
4375,trails,number,test,35190,1
4375,trails,letter,practice,7150,0
4375,trails,letter,test,30020,0
4375,trails,number-letter,practice,6860,0
4375,trails,number-letter,test,71660,0
4376,trails,number,practice,11040,0
4376,trails,number,test,29880,0
4376,trails,letter,practice,4450,0
4376,trails,letter,test,31140,0
4376,trails,number-letter,practice,5340,0
4376,trails,number-letter,test,129550,0
4377,trails,number,practice,7050,0
4377,trails,number,test,41930,0
4377,trails,letter,practice,5600,0
4377,trails,letter,test,27670,0
4377,trails,number-letter,practice,6130,0
4377,trails,number-letter,test,58830,1
4378,trails,number,practice,7170,0
4378,trails,number,test,20330,0
4378,trails,letter,practice,11190,1
4378,trails,letter,test,32920,1
4378,trails,number-letter,practice,21620,3
4378,trails,number-letter,test,167010,3
4379,trails,number,practice,7880,0
4379,trails,number,test,29320,1
4379,trails,letter,practice,5860,0
4379,trails,letter,test,25610,1
4379,trails,number-letter,practice,6850,0
4379,trails,number-letter,test,87230,2
4380,trails,number,practice,6510,0
4380,trails,number,test,42860,0
4380,trails,letter,practice,5060,0
4380,trails,letter,test,63680,0
4380,trails,number-letter,practice,5500,0
4380,trails,number-letter,test,98380,0
4381,trails,number,practice,9910,0
4381,trails,number,test,30120,0
4381,trails,letter,practice,18410,1
4381,trails,letter,test,25070,0
4381,trails,number-letter,practice,7680,0
4381,trails,number-letter,test,84060,0
4382,trails,number,practice,6160,0
4382,trails,number,test,30790,0
4382,trails,letter,practice,5870,0
4382,trails,letter,test,30640,0
4382,trails,number-letter,practice,9210,0
4382,trails,number-letter,test,73510,0
4383,trails,number,practice,10910,0
4383,trails,number,test,45250,0
4383,trails,letter,practice,8790,0
4383,trails,letter,test,39940,1
4383,trails,number-letter,practice,8680,0
4383,trails,number-letter,test,81690,0
4384,trails,number,practice,26560,0
4384,trails,number,test,71770,0
4384,trails,letter,practice,9980,0
4384,trails,letter,test,46790,0
4384,trails,number-letter,practice,20330,1
4384,trails,number-letter,test,194740,4
4385,trails,number,practice,5420,0
4385,trails,number,test,35830,0
4385,trails,letter,practice,5350,0
4385,trails,letter,test,55520,3
4385,trails,number-letter,practice,49320,2
4385,trails,number-letter,test,121610,1
4386,trails,number,practice,8030,0
4386,trails,number,test,33430,0
4386,trails,letter,practice,5070,0
4386,trails,letter,test,82170,4
4386,trails,number-letter,practice,8940,0
4386,trails,number-letter,test,83590,0
4387,trails,number,practice,5550,0
4387,trails,number,test,31270,0
4387,trails,letter,practice,4670,0
