proband_id,test_name,phase,trialn,sequence,rsp
4273,verbal_working_memory,forward,0,629,True
4273,verbal_working_memory,forward,1,375,True
4273,verbal_working_memory,forward,2,5417,False
4273,verbal_working_memory,forward,3,8396,True
4273,verbal_working_memory,forward,4,36925,True
4273,verbal_working_memory,forward,5,69471,True
4273,verbal_working_memory,forward,6,918427,False
4273,verbal_working_memory,forward,7,635482,False
4273,verbal_working_memory,backward,0,51,True
4273,verbal_working_memory,backward,1,38,True
4273,verbal_working_memory,backward,2,493,True
4273,verbal_working_memory,backward,3,526,False
4273,verbal_working_memory,backward,4,3814,True
4273,verbal_working_memory,backward,5,1795,True
4273,verbal_working_memory,backward,6,62972,False
4273,verbal_working_memory,backward,7,48527,False
4273,verbal_working_memory,practice,0,6F,True
4273,verbal_working_memory,practice,1,G4,True
4273,verbal_working_memory,practice,2,3W5,True
4273,verbal_working_memory,practice,3,T7L,True
4273,verbal_working_memory,practice,4,6GA2,True
4273,verbal_working_memory,practice,5,9PF4,False
4273,verbal_working_memory,digit letter,0,L2,True
4273,verbal_working_memory,digit letter,1,6P,True
4273,verbal_working_memory,digit letter,2,B5,True
4273,verbal_working_memory,digit letter,3,F7L,True
4273,verbal_working_memory,digit letter,4,R4D,True
4273,verbal_working_memory,digit letter,5,H18,False
4273,verbal_working_memory,digit letter,6,T9A3,True
4273,verbal_working_memory,digit letter,7,V1J5,False
4273,verbal_working_memory,digit letter,8,7N4L,True
4273,verbal_working_memory,digit letter,9,8D6G1,False
4273,verbal_working_memory,digit letter,10,K2C7S,False
4273,verbal_working_memory,digit letter,11,5P3Y9,False
4307,verbal_working_memory,forward,0,629,True
4307,verbal_working_memory,forward,1,375,True
4307,verbal_working_memory,forward,2,5417,True
4307,verbal_working_memory,forward,3,8396,True
4307,verbal_working_memory,forward,4,36925,True
4307,verbal_working_memory,forward,5,69471,True
4307,verbal_working_memory,forward,6,918427,False
4307,verbal_working_memory,forward,7,635482,True
4307,verbal_working_memory,forward,8,1285346,False
4307,verbal_working_memory,forward,9,2814975,False
4307,verbal_working_memory,backward,0,51,True
4307,verbal_working_memory,backward,1,38,True
4307,verbal_working_memory,backward,2,493,True
4307,verbal_working_memory,backward,3,526,True
4307,verbal_working_memory,backward,4,3814,False
4307,verbal_working_memory,backward,5,1795,False
4307,verbal_working_memory,practice,0,6F,True
4307,verbal_working_memory,practice,1,G4,True
4307,verbal_working_memory,practice,2,3W5,True
4307,verbal_working_memory,practice,3,T7L,True
4307,verbal_working_memory,practice,4,6GA2,True
4307,verbal_working_memory,practice,5,9PF4,True
4307,verbal_working_memory,digit letter,0,L2,True
4307,verbal_working_memory,digit letter,1,6P,True
4307,verbal_working_memory,digit letter,2,B5,True
4307,verbal_working_memory,digit letter,3,F7L,True
4307,verbal_working_memory,digit letter,4,R4D,True
4307,verbal_working_memory,digit letter,5,H18,True
4307,verbal_working_memory,digit letter,6,T9A3,False
4307,verbal_working_memory,digit letter,7,V1J5,True
4307,verbal_working_memory,digit letter,8,7N4L,True
4307,verbal_working_memory,digit letter,9,8D6G1,False
4307,verbal_working_memory,digit letter,10,K2C7S,False
4307,verbal_working_memory,digit letter,11,5P3Y9,False
4346,verbal_working_memory,forward,0,629,True
4346,verbal_working_memory,forward,1,375,True
4346,verbal_working_memory,forward,2,5417,True
4346,verbal_working_memory,forward,3,8396,True
4346,verbal_working_memory,forward,4,36925,True
4346,verbal_working_memory,forward,5,69471,False
4346,verbal_working_memory,forward,6,918427,True
4346,verbal_working_memory,forward,7,635482,True
4346,verbal_working_memory,forward,8,1285346,False
4346,verbal_working_memory,forward,9,2814975,False
4346,verbal_working_memory,backward,0,51,True
4346,verbal_working_memory,backward,1,38,True
4346,verbal_working_memory,backward,2,493,True
4346,verbal_working_memory,backward,3,526,False
4346,verbal_working_memory,backward,4,3814,False
4346,verbal_working_memory,backward,5,1795,True
4346,verbal_working_memory,backward,6,62972,False
4346,verbal_working_memory,backward,7,48527,False
4346,verbal_working_memory,practice,0,6F,True
4346,verbal_working_memory,practice,1,G4,True
4346,verbal_working_memory,practice,2,3W5,True
4346,verbal_working_memory,practice,3,T7L,True
4346,verbal_working_memory,practice,4,6GA2,True
4346,verbal_working_memory,practice,5,9PF4,True
4346,verbal_working_memory,digit letter,0,L2,True
4346,verbal_working_memory,digit letter,1,6P,True
4346,verbal_working_memory,digit letter,2,B5,True
4346,verbal_working_memory,digit letter,3,F7L,True
4346,verbal_working_memory,digit letter,4,R4D,True
4346,verbal_working_memory,digit letter,5,H18,True
4346,verbal_working_memory,digit letter,6,T9A3,True
4346,verbal_working_memory,digit letter,7,V1J5,True
4346,verbal_working_memory,digit letter,8,7N4L,False
4346,verbal_working_memory,digit letter,9,8D6G1,False
4346,verbal_working_memory,digit letter,10,K2C7S,False
4346,verbal_working_memory,digit letter,11,5P3Y9,False
4365,verbal_working_memory,forward,0,629,True
4365,verbal_working_memory,forward,1,375,True
4365,verbal_working_memory,forward,2,5417,True
4365,verbal_working_memory,forward,3,8396,True
4365,verbal_working_memory,forward,4,36925,True
4365,verbal_working_memory,forward,5,69471,True
4365,verbal_working_memory,forward,6,918427,True
4365,verbal_working_memory,forward,7,635482,True
4365,verbal_working_memory,forward,8,1285346,True
4365,verbal_working_memory,forward,9,2814975,True
4365,verbal_working_memory,forward,10,38295174,True
4365,verbal_working_memory,forward,11,59182647,True
4365,verbal_working_memory,backward,0,51,True
4365,verbal_working_memory,backward,1,38,True
4365,verbal_working_memory,backward,2,493,True
4365,verbal_working_memory,backward,3,526,True
4365,verbal_working_memory,backward,4,3814,False
4365,verbal_working_memory,backward,5,1795,True
4365,verbal_working_memory,backward,6,62972,True
4365,verbal_working_memory,backward,7,48527,False
4365,verbal_working_memory,backward,8,715286,False
4365,verbal_working_memory,backward,9,831964,False
4365,verbal_working_memory,practice,0,6F,True
4365,verbal_working_memory,practice,1,G4,True
4365,verbal_working_memory,practice,2,3W5,True
4365,verbal_working_memory,practice,3,T7L,True
4365,verbal_working_memory,practice,4,6GA2,True
4365,verbal_working_memory,practice,5,9PF4,True
4365,verbal_working_memory,digit letter,0,L2,True
4365,verbal_working_memory,digit letter,1,6P,True
4365,verbal_working_memory,digit letter,2,B5,True
4365,verbal_working_memory,digit letter,3,F7L,True
4365,verbal_working_memory,digit letter,4,R4D,True
4365,verbal_working_memory,digit letter,5,H18,True
4365,verbal_working_memory,digit letter,6,T9A3,True
4365,verbal_working_memory,digit letter,7,V1J5,True
4365,verbal_working_memory,digit letter,8,7N4L,True
4365,verbal_working_memory,digit letter,9,8D6G1,False
4365,verbal_working_memory,digit letter,10,K2C7S,False
4365,verbal_working_memory,digit letter,11,5P3Y9,False
4367,verbal_working_memory,forward,0,629,True
4367,verbal_working_memory,forward,1,375,True
4367,verbal_working_memory,forward,2,5417,True
4367,verbal_working_memory,forward,3,8396,True
4367,verbal_working_memory,forward,4,36925,True
4367,verbal_working_memory,forward,5,69471,False
4367,verbal_working_memory,forward,6,918427,False
4367,verbal_working_memory,forward,7,635482,False
4367,verbal_working_memory,backward,0,51,True
4367,verbal_working_memory,backward,1,38,True
4367,verbal_working_memory,backward,2,493,False
4367,verbal_working_memory,backward,3,526,False
4367,verbal_working_memory,practice,0,6F,True
4367,verbal_working_memory,practice,1,G4,False
4367,verbal_working_memory,practice,2,3W5,True
4367,verbal_working_memory,practice,3,T7L,False
4367,verbal_working_memory,practice,4,6GA2,False
4367,verbal_working_memory,practice,5,9PF4,True
4367,verbal_working_memory,digit letter,0,L2,True
4367,verbal_working_memory,digit letter,1,6P,True
4367,verbal_working_memory,digit letter,2,B5,True
4367,verbal_working_memory,digit letter,3,F7L,True
4367,verbal_working_memory,digit letter,4,R4D,False
4367,verbal_working_memory,digit letter,5,H18,False
4367,verbal_working_memory,digit letter,6,T9A3,True
4367,verbal_working_memory,digit letter,7,V1J5,False
4367,verbal_working_memory,digit letter,8,7N4L,False
4367,verbal_working_memory,digit letter,9,8D6G1,False
4367,verbal_working_memory,digit letter,10,K2C7S,False
4367,verbal_working_memory,digit letter,11,5P3Y9,False
4368,verbal_working_memory,forward,0,629,True
4368,verbal_working_memory,forward,1,375,True
4368,verbal_working_memory,forward,2,5417,True
4368,verbal_working_memory,forward,3,8396,True
4368,verbal_working_memory,forward,4,36925,True
4368,verbal_working_memory,forward,5,69471,True
4368,verbal_working_memory,forward,6,918427,False
4368,verbal_working_memory,forward,7,635482,False
4368,verbal_working_memory,backward,0,51,True
4368,verbal_working_memory,backward,1,38,True
4368,verbal_working_memory,backward,2,493,False
4368,verbal_working_memory,backward,3,526,True
4368,verbal_working_memory,backward,4,3814,False
4368,verbal_working_memory,backward,5,1795,False
4368,verbal_working_memory,practice,0,6F,False
4368,verbal_working_memory,practice,1,G4,True
4368,verbal_working_memory,practice,2,3W5,True
4368,verbal_working_memory,practice,3,T7L,False
4368,verbal_working_memory,practice,4,6GA2,False
4368,verbal_working_memory,practice,5,9PF4,False
4368,verbal_working_memory,digit letter,0,L2,True
4368,verbal_working_memory,digit letter,1,6P,True
4368,verbal_working_memory,digit letter,2,B5,True
4368,verbal_working_memory,digit letter,3,F7L,False
4368,verbal_working_memory,digit letter,4,R4D,False
4368,verbal_working_memory,digit letter,5,H18,False
4369,verbal_working_memory,forward,0,629,True
