proband_id,test_name,condition,blockn,trialn,n,positions,symbols,correct,pcorrect,rt,responses
sam,corsi_ext,simultaneous_a,0,0,2,"[(-182, 177), (143, 234), (184, -51), (116, -275)]",cc,1,0.5,2151,"[(0, 1184, 'c'), (1, 699, 'c')]"
sam,corsi_ext,simultaneous_a,0,1,2,"[(10, -87), (324, 83), (257, 237), (-303, -63)]",cc,1,0.5,1333,"[(0, 625, 'c'), (1, 441, 'c')]"
sam,corsi_ext,simultaneous_a,0,2,2,"[(54, -226), (278, 329), (-155, -248), (-299, 9)]",cc,1,0.5,1724,"[(0, 729, 'c'), (1, 726, 'c')]"
sam,corsi_ext,simultaneous_a,0,3,2,"[(200, 195), (220, -95), (-27, -25), (-262, -48)]",cc,1,0.5,2131,"[(0, 1193, 'c'), (1, 666, 'c')]"
sam,corsi_ext,simultaneous_a,0,4,2,"[(104, 1), (-139, -229), (-319, 100), (242, 214)]",cc,1,0.5,1808,"[(1, 1060, 'c'), (0, 483, 'c')]"
sam,corsi_ext,simultaneous_a,0,5,2,"[(-112, -300), (-218, -31), (-143, 211), (298, 84)]",cc,1,0.5,1987,"[(1, 954, 'c'), (0, 772, 'c')]"
sam,corsi_ext,simultaneous_a,0,6,2,"[(143, 156), (-79, 143), (42, 51), (156, 235)]",cc,1,0.5,1788,"[(1, 866, 'c'), (0, 658, 'c')]"
sam,corsi_ext,simultaneous_a,0,7,2,"[(347, 16), (124, 96), (-267, -254), (205, 188)]",cc,1,0.5,1849,"[(1, 1089, 'c'), (0, 496, 'c')]"
sam,corsi_ext,simultaneous_a,0,8,2,"[(148, 238), (-212, -316), (-34, 299), (-264, 104)]",cc,1,0.5,2467,"[(1, 1371, 'c'), (0, 833, 'c')]"
sam,corsi_ext,simultaneous_a,0,9,2,"[(104, -225), (135, 259), (124, -51), (-132, 133)]",cc,1,0.5,2051,"[(0, 1095, 'c'), (1, 691, 'c')]"
sam,corsi_ext,simultaneous_a,0,0,3,"[(178, 285), (311, -307), (127, 74), (-24, -291), (305, 320), (111, -324)]",ccc,1,0.333333333333,2430,"[(0, 1094, 'c'), (2, 380, 'c'), (1, 555, 'c')]"
sam,corsi_ext,simultaneous_a,0,1,3,"[(-275, 272), (212, -149), (297, 83), (-143, -131), (-126, 137), (-301, -54)]",ccc,1,0.333333333333,3471,"[(0, 975, 'c'), (1, 666, 'c'), (2, 381, 'c')]"
sam,corsi_ext,simultaneous_a,0,2,3,"[(198, 184), (-331, -255), (-305, -341), (-201, 70), (137, -11), (-314, 8)]",ccc,1,0.333333333333,2507,"[(2, 1039, 'c'), (1, 345, 'c'), (0, 733, 'c')]"
sam,corsi_ext,simultaneous_a,0,3,3,"[(-331, -166), (42, 30), (-301, -299), (-235, -155), (-271, -72), (-89, -217)]",ccc,1,0.333333333333,2185,"[(2, 1022, 'c'), (0, 285, 'c'), (1, 480, 'c')]"
sam,corsi_ext,simultaneous_a,0,4,3,"[(-268, -271), (54, -142), (72, 58), (-97, 347), (-9, -245), (326, -117)]",ccc,1,0.333333333333,2754,"[(2, 994, 'c'), (1, 427, 'c'), (0, 935, 'c')]"
