proband_id,group,sex,age
4273,1,2,23
4307,0,2,29
4346,1,1,45
4365,0,2,31
4366,1,1,
4367,1,1,62
4368,1,1,56
4369,0,1,31
4370,1,1,38
4371,0,1,51
4372,0,2,30
4373,0,1,49
4374,0,1,68
4375,0,1,47
4376,0,1,53
4377,1,1,27
4378,0,1,48
4379,0,1,38
4380,1,2,52
4381,0,2,29
4382,1,2,31
4383,0,2,27
4384,1,2,53
4385,1,2,56
4386,0,1,48
4387,0,1,33
4388,0,2,40
4389,0,2,21
4390,0,1,52
4391,0,2,29
4392,0,1,41
4393,0,1,26
4394,0,1,19
4395,0,2,44
4396,0,1,31
4397,0,2,23
4398,0,2,23
4399,0,1,22
4400,0,1,19
4401,0,2,25
4402,1,2,25
4403,0,1,69
