,proband_id,test_name,trialn,rsp
0,4273,cvlt2_recall,0,cabbage
1,4273,cvlt2_recall,0,truck
2,4273,cvlt2_recall,0,zebra
3,4273,cvlt2_recall,0,intrusion
4,4273,cvlt2_recall,0,motorcycle
5,4273,cvlt2_recall,0,cabinet
6,4273,cvlt2_recall,0,desk
0,4307,cvlt2_recall,0,truck
1,4307,cvlt2_recall,0,spinach
2,4307,cvlt2_recall,0,giraffe
3,4307,cvlt2_recall,0,squirrel
4,4307,cvlt2_recall,0,zebra
5,4307,cvlt2_recall,0,bookcase
6,4307,cvlt2_recall,0,cabinet
7,4307,cvlt2_recall,0,motorcycle
8,4307,cvlt2_recall,0,onion
9,4307,cvlt2_recall,0,celery
10,4307,cvlt2_recall,0,subway
0,4346,cvlt2_recall,0,onion
1,4346,cvlt2_recall,0,giraffe
2,4346,cvlt2_recall,0,zebra
3,4346,cvlt2_recall,0,bookcase
4,4346,cvlt2_recall,0,desk
5,4346,cvlt2_recall,0,cabinet
6,4346,cvlt2_recall,0,truck
7,4346,cvlt2_recall,0,celery
8,4346,cvlt2_recall,0,onion
9,4346,cvlt2_recall,0,subway
0,4365,cvlt2_recall,0,giraffe
1,4365,cvlt2_recall,0,truck
2,4365,cvlt2_recall,0,cow
3,4365,cvlt2_recall,0,squirrel
4,4365,cvlt2_recall,0,zebra
5,4365,cvlt2_recall,0,cabbage
6,4365,cvlt2_recall,0,spinach
7,4365,cvlt2_recall,0,onion
8,4365,cvlt2_recall,0,cabinet
9,4365,cvlt2_recall,0,intrusion
10,4365,cvlt2_recall,0,motorcycle
11,4365,cvlt2_recall,0,truck
12,4365,cvlt2_recall,0,spinach
13,4365,cvlt2_recall,0,boat
14,4365,cvlt2_recall,0,lamp
0,4367,cvlt2_recall,0,truck
1,4367,cvlt2_recall,0,subway
2,4367,cvlt2_recall,0,cow
0,4368,cvlt2_recall,0,spinach
1,4368,cvlt2_recall,0,boat
2,4368,cvlt2_recall,0,intrusion
0,4369,cvlt2_recall,0,cabbage
1,4369,cvlt2_recall,0,zebra
2,4369,cvlt2_recall,0,desk
3,4369,cvlt2_recall,0,cabinet
4,4369,cvlt2_recall,0,squirrel
5,4369,cvlt2_recall,0,intrusion
6,4369,cvlt2_recall,0,boat
0,4370,cvlt2_recall,0,spinach
1,4370,cvlt2_recall,0,truck
2,4370,cvlt2_recall,0,cabbage
3,4370,cvlt2_recall,0,onion
4,4370,cvlt2_recall,0,zebra
