,proband_id,test_name,phase,trialn,digit,symbol,ans,f,rsp,rt
0,4273,digit_symbol,practice,0,2,2,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym2.bmp,Yes,9570
1,4273,digit_symbol,practice,1,6,6,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym6.bmp,Yes,2710
2,4273,digit_symbol,practice,2,8,4,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym4.bmp,Yes,2080
3,4273,digit_symbol,practice,3,4,4,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym4.bmp,Yes,3330
4,4273,digit_symbol,practice,4,7,7,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym7.bmp,Yes,2020
5,4273,digit_symbol,practice,5,6,5,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym5.bmp,Yes,1590
6,4273,digit_symbol,practice,6,2,8,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym8.bmp,Yes,2991
7,4273,digit_symbol,practice,7,9,2,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym2.bmp,Yes,2990
8,4273,digit_symbol,practice,8,3,7,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym7.bmp,No,7100
9,4273,digit_symbol,practice,9,5,6,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym6.bmp,No,2851
10,4273,digit_symbol,test,0,8,8,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym8.bmp,Yes,3006
11,4273,digit_symbol,test,1,1,4,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym4.bmp,No,5003
12,4273,digit_symbol,test,2,2,8,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym8.bmp,No,2303
13,4273,digit_symbol,test,3,6,2,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym2.bmp,No,1503
14,4273,digit_symbol,test,4,4,4,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym4.bmp,Yes,1703
15,4273,digit_symbol,test,5,9,5,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym5.bmp,No,2704
16,4273,digit_symbol,test,6,5,6,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym6.bmp,No,3703
17,4273,digit_symbol,test,7,3,3,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym3.bmp,Yes,2703
18,4273,digit_symbol,test,8,4,4,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym4.bmp,Yes,2303
19,4273,digit_symbol,test,9,9,9,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym9.bmp,Yes,1903
20,4273,digit_symbol,test,10,6,6,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym6.bmp,Yes,2403
21,4273,digit_symbol,test,11,1,1,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym1.bmp,Yes,3304
22,4273,digit_symbol,test,12,2,2,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym2.bmp,Yes,2603
23,4273,digit_symbol,test,13,7,7,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym7.bmp,Yes,3103
24,4273,digit_symbol,test,14,3,3,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym3.bmp,Yes,2103
25,4273,digit_symbol,test,15,8,8,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym8.bmp,Yes,6703
26,4273,digit_symbol,test,16,7,7,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym7.bmp,Yes,7204
27,4273,digit_symbol,test,17,5,3,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym3.bmp,No,3803
28,4273,digit_symbol,test,18,1,5,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym5.bmp,Yes,3403
29,4273,digit_symbol,test,19,4,4,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym4.bmp,Yes,2403
30,4273,digit_symbol,test,20,7,8,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym8.bmp,No,2304
31,4273,digit_symbol,test,21,4,4,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym4.bmp,Yes,1603
32,4273,digit_symbol,test,22,8,8,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym8.bmp,Yes,3403
33,4273,digit_symbol,test,23,3,3,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym3.bmp,Yes,1604
34,4273,digit_symbol,test,24,5,5,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym5.bmp,Yes,1603
35,4273,digit_symbol,test,25,3,1,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym1.bmp,No,2602
36,4273,digit_symbol,test,26,6,9,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym9.bmp,Yes,1903
37,4273,digit_symbol,test,27,2,2,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym2.bmp,Yes,3704
38,4273,digit_symbol,test,28,8,8,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym8.bmp,Yes,2503
0,4307,digit_symbol,practice,0,2,2,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym2.bmp,Yes,8170
1,4307,digit_symbol,practice,1,6,6,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym6.bmp,Yes,1660
2,4307,digit_symbol,practice,2,8,4,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym4.bmp,No,2680
3,4307,digit_symbol,practice,3,4,4,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym4.bmp,Yes,2671
4,4307,digit_symbol,practice,4,7,7,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym7.bmp,Yes,1440
5,4307,digit_symbol,practice,5,6,5,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym5.bmp,No,2210
6,4307,digit_symbol,practice,6,2,8,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym8.bmp,No,2290
7,4307,digit_symbol,practice,7,9,2,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym2.bmp,No,2390
8,4307,digit_symbol,practice,8,3,7,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym7.bmp,No,2070
9,4307,digit_symbol,practice,9,5,6,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym6.bmp,No,1880
10,4307,digit_symbol,test,0,8,8,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym8.bmp,Yes,2256
11,4307,digit_symbol,test,1,1,4,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym4.bmp,No,2003
12,4307,digit_symbol,test,2,2,8,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym8.bmp,No,2003
13,4307,digit_symbol,test,3,6,2,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym2.bmp,No,1753
14,4307,digit_symbol,test,4,4,4,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym4.bmp,Yes,2504
15,4307,digit_symbol,test,5,9,5,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym5.bmp,No,1753
16,4307,digit_symbol,test,6,5,6,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym6.bmp,No,1253
17,4307,digit_symbol,test,7,3,3,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym3.bmp,Yes,2003
18,4307,digit_symbol,test,8,4,4,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym4.bmp,Yes,1253
19,4307,digit_symbol,test,9,9,9,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym9.bmp,Yes,3503
20,4307,digit_symbol,test,10,6,6,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym6.bmp,Yes,1503
21,4307,digit_symbol,test,11,1,1,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym1.bmp,Yes,1503
22,4307,digit_symbol,test,12,2,2,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym2.bmp,Yes,1504
23,4307,digit_symbol,test,13,7,7,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym7.bmp,Yes,1253
24,4307,digit_symbol,test,14,3,3,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym3.bmp,Yes,1753
25,4307,digit_symbol,test,15,8,8,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym8.bmp,Yes,1253
26,4307,digit_symbol,test,16,7,7,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym7.bmp,Yes,1503
27,4307,digit_symbol,test,17,5,3,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym3.bmp,No,2003
28,4307,digit_symbol,test,18,1,5,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym5.bmp,No,3253
29,4307,digit_symbol,test,19,4,4,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym4.bmp,Yes,2503
30,4307,digit_symbol,test,20,7,8,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym8.bmp,Yes,5754
31,4307,digit_symbol,test,21,4,4,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym4.bmp,Yes,2753
32,4307,digit_symbol,test,22,8,8,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym8.bmp,Yes,2254
33,4307,digit_symbol,test,23,3,3,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym3.bmp,Yes,2003
34,4307,digit_symbol,test,24,5,5,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym5.bmp,Yes,2003
35,4307,digit_symbol,test,25,3,1,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym1.bmp,No,2504
36,4307,digit_symbol,test,26,6,9,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym9.bmp,No,3753
37,4307,digit_symbol,test,27,2,2,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym2.bmp,Yes,1503
38,4307,digit_symbol,test,28,8,8,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym8.bmp,Yes,2003
39,4307,digit_symbol,test,29,9,2,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym2.bmp,No,2003
40,4307,digit_symbol,test,30,1,6,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym6.bmp,No,2753
41,4307,digit_symbol,test,31,5,4,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\digit_symbol\sym4.bmp,No,2753
