,proband_id,test_name,phase,trialn,posx,posy,dposx,dposy,rsp,rt,total_time
0,4273,orientation,first,0,44,-336,233,131,0,1740,1748
1,4273,orientation,first,1,291,-190,310,-249,0,1410,3165
2,4273,orientation,first,2,174,158,-198,-147,0,1000,4171
3,4273,orientation,first,3,249,-155,-163,283,0,1150,5327
4,4273,orientation,first,4,144,171,260,315,0,1030,6363
5,4273,orientation,first,5,292,-24,-346,-300,0,1140,7509
6,4273,orientation,first,6,-136,-184,174,-307,0,1720,9235
7,4273,orientation,first,7,-314,-191,209,-166,0,450,10881
8,4273,orientation,first,8,76,54,-282,128,0,1470,12356
9,4273,orientation,first,9,-192,168,124,-343,0,1350,13711
10,4273,orientation,last,0,-31,-224,233,131,0,1621,1632
11,4273,orientation,last,1,-273,-68,310,-249,0,950,2585
12,4273,orientation,last,2,178,207,-198,-147,0,990,3579
13,4273,orientation,last,3,40,-55,-163,283,0,1090,4676
14,4273,orientation,last,4,-241,-116,260,315,0,1070,5753
15,4273,orientation,last,5,-95,-43,-346,-300,0,740,6500
16,4273,orientation,last,6,287,199,174,-307,0,2140,8647
17,4273,orientation,last,7,124,321,209,-166,0,1010,9664
18,4273,orientation,last,8,-123,133,-282,128,0,1340,11012
19,4273,orientation,last,9,138,284,124,-343,0,1440,12459
0,4307,orientation,first,0,347,316,92,-310,0,1030,1038
1,4307,orientation,first,1,-5,172,300,-309,0,840,1884
2,4307,orientation,first,2,138,-67,380,-18,0,840,2730
3,4307,orientation,first,3,-11,-165,-387,-47,0,690,3426
4,4307,orientation,first,4,211,-216,-186,-385,0,630,4062
5,4307,orientation,first,5,205,-348,-189,-153,0,680,4748
6,4307,orientation,first,6,-209,-253,361,125,0,800,5554
7,4307,orientation,first,7,-358,-211,-311,104,0,700,6260
8,4307,orientation,first,8,-43,-37,-231,247,0,930,7196
9,4307,orientation,first,9,122,-264,-71,-192,0,940,8141
10,4307,orientation,last,0,298,-88,92,-310,0,730,737
11,4307,orientation,last,1,-77,36,300,-309,0,840,1585
12,4307,orientation,last,2,98,73,380,-18,0,700,2292
13,4307,orientation,last,3,244,187,-387,-47,0,810,3109
14,4307,orientation,last,4,33,169,-186,-385,0,730,3846
15,4307,orientation,last,5,146,341,-189,-153,0,750,4603
16,4307,orientation,last,6,-136,336,361,125,0,700,5310
17,4307,orientation,last,7,-147,201,-311,104,0,690,6007
18,4307,orientation,last,8,-294,-102,-231,247,0,1060,7074
19,4307,orientation,last,9,-33,-313,-71,-192,0,890,7972
0,4346,orientation,first,0,44,-336,233,131,0,1400,1408
1,4346,orientation,first,1,291,-190,310,-249,0,1000,2415
2,4346,orientation,first,2,174,158,-198,-147,0,1171,3592
3,4346,orientation,first,3,249,-155,-163,283,0,1220,4818
