,total_ntrials,total_ncorrect,total_rt_mean,total_rt_mean_outrmvd,total_rt_outrmvd,shape_0__ntrials,shape_0__ncorrect,shape_0_persev,shape_0_nonpersev,shape_0_lapse,shape_1__ntrials,shape_1__ncorrect,shape_1_persev,shape_1_nonpersev,shape_1_lapse,size_0__ntrials,size_0__ncorrect,size_0_persev,size_0_nonpersev,size_0_lapse,size_1__ntrials,size_1__ncorrect,size_1_persev,size_1_nonpersev,size_1_lapse,thickness_0__ntrials,thickness_0__ncorrect,thickness_0_persev,thickness_0_nonpersev,thickness_0_lapse,thickness_1__ntrials,thickness_1__ncorrect,thickness_1_persev,thickness_1_nonpersev,thickness_1_lapse,total_persev,total_nonpersev,total_lapse,nlearned,group
4273,72.0,39.0,3628.12820513,1477.42105263,1.0,12.0,7.0,4.0,1.0,0.0,12.0,8.0,1.0,2.0,1.0,12.0,6.0,3.0,2.0,1.0,12.0,4.0,5.0,3.0,0.0,12.0,10.0,0.0,0.0,0.0,12.0,4.0,1.0,7.0,0.0,14.0,15.0,2.0,4.0,1.0
4307,72.0,54.0,3278.5,3112.41509434,1.0,12.0,9.0,2.0,1.0,0.0,12.0,11.0,1.0,0.0,0.0,12.0,4.0,4.0,4.0,0.0,12.0,9.0,1.0,2.0,0.0,12.0,12.0,0.0,0.0,0.0,12.0,9.0,3.0,0.0,0.0,11.0,7.0,0.0,5.0,0.0
4346,72.0,35.0,2437.08571429,2437.08571429,0.0,12.0,6.0,6.0,0.0,0.0,12.0,8.0,4.0,0.0,0.0,12.0,0.0,5.0,7.0,0.0,12.0,0.0,5.0,7.0,0.0,12.0,11.0,0.0,0.0,0.0,12.0,10.0,0.0,2.0,0.0,20.0,16.0,0.0,4.0,1.0
4365,72.0,41.0,2395.26829268,2146.79487179,2.0,12.0,6.0,5.0,1.0,0.0,12.0,9.0,2.0,1.0,0.0,12.0,0.0,5.0,7.0,0.0,12.0,10.0,1.0,1.0,0.0,12.0,11.0,0.0,0.0,0.0,12.0,5.0,3.0,4.0,0.0,16.0,14.0,0.0,4.0,0.0
4366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
4367,72.0,24.0,2501.91666667,2501.91666667,0.0,12.0,12.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,24.0,12.0,0.0,2.0,1.0
4368,72.0,18.0,2346.94444444,2346.94444444,0.0,12.0,10.0,1.0,1.0,0.0,12.0,3.0,6.0,3.0,0.0,12.0,2.0,9.0,0.0,1.0,12.0,1.0,2.0,7.0,2.0,12.0,1.0,0.0,0.0,0.0,12.0,1.0,2.0,9.0,0.0,20.0,20.0,3.0,1.0,1.0
4369,72.0,23.0,1817.0,1817.0,0.0,12.0,10.0,2.0,0.0,0.0,12.0,2.0,10.0,0.0,0.0,12.0,0.0,7.0,5.0,0.0,12.0,2.0,3.0,6.0,1.0,12.0,0.0,0.0,0.0,0.0,12.0,9.0,0.0,3.0,0.0,22.0,14.0,1.0,2.0,0.0
4370,72.0,35.0,5082.57142857,4778.5,1.0,12.0,8.0,4.0,0.0,0.0,12.0,9.0,2.0,1.0,0.0,12.0,2.0,6.0,3.0,1.0,12.0,3.0,4.0,3.0,2.0,12.0,11.0,0.0,0.0,0.0,12.0,2.0,1.0,8.0,1.0,17.0,15.0,4.0,3.0,1.0
4371,72.0,25.0,1774.4,1774.4,0.0,12.0,12.0,0.0,0.0,0.0,12.0,11.0,1.0,0.0,0.0,12.0,1.0,11.0,0.0,0.0,12.0,1.0,7.0,3.0,1.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,19.0,15.0,1.0,2.0,0.0
