,overall_ntrials,overall_ncorrect,overall_rt_mean,overall_rt_mean_outrmvd,overall_rt_outrmvd,overall_dprime,overall_criterion,overall_N,overall_S,overall_H,overall_F,incongruent_ntrials,incongruent_ncorrect,incongruent_rt_mean,incongruent_rt_mean_outrmvd,incongruent_rt_outrmvd,incongruent_dprime,incongruent_criterion,incongruent_N,incongruent_S,incongruent_H,incongruent_F,congruent_ntrials,congruent_ncorrect,congruent_rt_mean,congruent_rt_mean_outrmvd,congruent_rt_outrmvd,congruent_dprime,congruent_criterion,congruent_N,congruent_S,congruent_H,congruent_F,stroop_ncorrect,stroop_dprime,stroop_rt_mean_outrmvd,group
4273,112.0,80.0,1134.1125,1024.07692308,2.0,1.13346287025,-0.0525753343821,56.0,56.0,41.0,17.0,56.0,26.0,1348.53846154,1138.84,1.0,-0.180012369793,-0.0900061848964,28.0,28.0,14.0,16.0,56.0,54.0,1030.87037037,915.307692308,2.0,3.60548618148,-2.22044604925e-16,28.0,28.0,27.0,1.0,28.0,3.78549855127,-223.532307692,1.0
4307,112.0,112.0,1360.88392857,1316.67889908,3.0,4.75021416839,8.881784197e-16,56.0,56.0,56.0,0.0,56.0,56.0,1483.5,1425.64814815,2.0,4.22876154306,2.22044604925e-16,28.0,28.0,28.0,0.0,56.0,56.0,1238.26785714,1209.69090909,1.0,4.22876154306,2.22044604925e-16,28.0,28.0,28.0,0.0,0.0,0.0,-215.957239057,0.0
4346,112.0,73.0,1202.2739726,1096.54929577,2.0,0.782347115422,-0.0725341937464,56.0,56.0,38.0,21.0,56.0,54.0,1069.14814815,1040.83018868,1.0,3.60548618148,-2.22044604925e-16,28.0,28.0,27.0,1.0,56.0,19.0,1580.63157895,1335.61111111,1.0,-0.837828827332,-0.147034408267,28.0,28.0,11.0,20.0,-35.0,-4.44331500881,294.780922432,1.0
4365,112.0,111.0,976.540540541,958.690909091,1.0,4.47527257704,-0.137470795675,56.0,56.0,56.0,1.0,56.0,55.0,1068.01818182,1033.35185185,1.0,3.91712386227,-0.155818840394,28.0,28.0,28.0,1.0,56.0,56.0,886.696428571,867.545454545,1.0,4.22876154306,2.22044604925e-16,28.0,28.0,28.0,0.0,1.0,0.311637680788,-165.806397306,0.0
4366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
4367,112.0,70.0,1608.35714286,1512.86764706,2.0,0.64012128346,-0.09435268787,56.0,56.0,37.0,23.0,56.0,14.0,2477.92857143,2477.92857143,0.0,-1.38453072783,-0.228557612456,28.0,28.0,9.0,23.0,56.0,56.0,1390.96428571,1390.96428571,0.0,4.22876154306,2.22044604925e-16,28.0,28.0,28.0,0.0,42.0,5.61329227088,-1086.96428571,1.0
4368,112.0,104.0,2377.52884615,2050.10679612,1.0,3.04460988258,0.280438149448,56.0,56.0,50.0,2.0,56.0,56.0,2005.48214286,1915.66666667,2.0,4.22876154306,2.22044604925e-16,28.0,28.0,28.0,0.0,56.0,48.0,2811.58333333,2103.27659574,1.0,2.25687240043,0.336797592471,28.0,28.0,22.0,2.0,-8.0,-1.97188914263,187.609929078,1.0
4369,112.0,108.0,758.185185185,737.018867925,2.0,3.60548618148,-2.22044604925e-16,56.0,56.0,54.0,2.0,56.0,53.0,801.377358491,785.442307692,1.0,3.26797688342,0.168754649027,28.0,28.0,26.0,1.0,56.0,55.0,716.563636364,690.388888889,1.0,3.91712386227,-0.155818840394,28.0,28.0,28.0,1.0,2.0,0.649146978842,-95.0534188034,0.0
4370,112.0,59.0,3386.81355932,3276.93103448,1.0,0.134689794009,-0.0673448970045,56.0,56.0,31.0,28.0,56.0,48.0,3522.3125,3522.3125,0.0,2.16268976821,0.160521907737,28.0,28.0,23.0,3.0,56.0,11.0,2795.54545455,2795.54545455,0.0,-1.80781561378,-0.337958984955,28.0,28.0,8.0,25.0,-37.0,-3.97050538199,-726.767045455,1.0
4371,112.0,109.0,1737.82568807,1679.65420561,2.0,3.98627624655,0.381968960921,56.0,56.0,53.0,0.0,56.0,56.0,1767.30357143,1721.23636364,1.0,4.22876154306,2.22044604925e-16,28.0,28.0,28.0,0.0,56.0,53.0,1706.67924528,1641.80769231,1.0,3.35624756337,0.436256989842,28.0,28.0,25.0,0.0,-3.0,-0.872513979684,-79.4286713287,0.0
4372,112.0,112.0,973.276785714,954.972727273,2.0,4.75021416839,8.881784197e-16,56.0,56.0,56.0,0.0,56.0,56.0,990.392857143,969.490909091,1.0,4.22876154306,2.22044604925e-16,28.0,28.0,28.0,0.0,56.0,56.0,956.160714286,927.296296296,2.0,4.22876154306,2.22044604925e-16,28.0,28.0,28.0,0.0,0.0,0.0,-42.1946127946,0.0
4373,112.0,112.0,1505.4375,1411.70909091,2.0,4.75021416839,8.881784197e-16,56.0,56.0,56.0,0.0,56.0,56.0,1954.41071429,1780.11111111,2.0,4.22876154306,2.22044604925e-16,28.0,28.0,28.0,0.0,56.0,56.0,1056.46428571,1003.12727273,1.0,4.22876154306,2.22044604925e-16,28.0,28.0,28.0,0.0,0.0,0.0,-776.983838384,0.0
