,proband_id,test_name,phase,trialn,sequence,rsp
0,4273,verbal_working_memory,forward,0,629,True
1,4273,verbal_working_memory,forward,1,375,True
2,4273,verbal_working_memory,forward,2,5417,False
3,4273,verbal_working_memory,forward,3,8396,True
4,4273,verbal_working_memory,forward,4,36925,True
5,4273,verbal_working_memory,forward,5,69471,True
6,4273,verbal_working_memory,forward,6,918427,False
7,4273,verbal_working_memory,forward,7,635482,False
8,4273,verbal_working_memory,backward,0,51,True
9,4273,verbal_working_memory,backward,1,38,True
10,4273,verbal_working_memory,backward,2,493,True
11,4273,verbal_working_memory,backward,3,526,False
12,4273,verbal_working_memory,backward,4,3814,True
13,4273,verbal_working_memory,backward,5,1795,True
14,4273,verbal_working_memory,backward,6,62972,False
15,4273,verbal_working_memory,backward,7,48527,False
16,4273,verbal_working_memory,practice,0,6F,True
17,4273,verbal_working_memory,practice,1,G4,True
18,4273,verbal_working_memory,practice,2,3W5,True
19,4273,verbal_working_memory,practice,3,T7L,True
20,4273,verbal_working_memory,practice,4,6GA2,True
21,4273,verbal_working_memory,practice,5,9PF4,False
22,4273,verbal_working_memory,digit letter,0,L2,True
23,4273,verbal_working_memory,digit letter,1,6P,True
24,4273,verbal_working_memory,digit letter,2,B5,True
25,4273,verbal_working_memory,digit letter,3,F7L,True
26,4273,verbal_working_memory,digit letter,4,R4D,True
27,4273,verbal_working_memory,digit letter,5,H18,False
28,4273,verbal_working_memory,digit letter,6,T9A3,True
29,4273,verbal_working_memory,digit letter,7,V1J5,False
30,4273,verbal_working_memory,digit letter,8,7N4L,True
31,4273,verbal_working_memory,digit letter,9,8D6G1,False
32,4273,verbal_working_memory,digit letter,10,K2C7S,False
33,4273,verbal_working_memory,digit letter,11,5P3Y9,False
0,4307,verbal_working_memory,forward,0,629,True
1,4307,verbal_working_memory,forward,1,375,True
2,4307,verbal_working_memory,forward,2,5417,True
3,4307,verbal_working_memory,forward,3,8396,True
4,4307,verbal_working_memory,forward,4,36925,True
5,4307,verbal_working_memory,forward,5,69471,True
6,4307,verbal_working_memory,forward,6,918427,False
7,4307,verbal_working_memory,forward,7,635482,True
8,4307,verbal_working_memory,forward,8,1285346,False
9,4307,verbal_working_memory,forward,9,2814975,False
10,4307,verbal_working_memory,backward,0,51,True
11,4307,verbal_working_memory,backward,1,38,True
12,4307,verbal_working_memory,backward,2,493,True
13,4307,verbal_working_memory,backward,3,526,True
14,4307,verbal_working_memory,backward,4,3814,False
15,4307,verbal_working_memory,backward,5,1795,False
16,4307,verbal_working_memory,practice,0,6F,True
17,4307,verbal_working_memory,practice,1,G4,True
18,4307,verbal_working_memory,practice,2,3W5,True
19,4307,verbal_working_memory,practice,3,T7L,True
20,4307,verbal_working_memory,practice,4,6GA2,True
21,4307,verbal_working_memory,practice,5,9PF4,True
22,4307,verbal_working_memory,digit letter,0,L2,True
23,4307,verbal_working_memory,digit letter,1,6P,True
24,4307,verbal_working_memory,digit letter,2,B5,True
25,4307,verbal_working_memory,digit letter,3,F7L,True
26,4307,verbal_working_memory,digit letter,4,R4D,True
27,4307,verbal_working_memory,digit letter,5,H18,True
28,4307,verbal_working_memory,digit letter,6,T9A3,False
29,4307,verbal_working_memory,digit letter,7,V1J5,True
30,4307,verbal_working_memory,digit letter,8,7N4L,True
31,4307,verbal_working_memory,digit letter,9,8D6G1,False
32,4307,verbal_working_memory,digit letter,10,K2C7S,False
33,4307,verbal_working_memory,digit letter,11,5P3Y9,False
0,4346,verbal_working_memory,forward,0,629,True
1,4346,verbal_working_memory,forward,1,375,True
2,4346,verbal_working_memory,forward,2,5417,True
3,4346,verbal_working_memory,forward,3,8396,True
4,4346,verbal_working_memory,forward,4,36925,True
5,4346,verbal_working_memory,forward,5,69471,False
6,4346,verbal_working_memory,forward,6,918427,True
7,4346,verbal_working_memory,forward,7,635482,True
8,4346,verbal_working_memory,forward,8,1285346,False
9,4346,verbal_working_memory,forward,9,2814975,False
10,4346,verbal_working_memory,backward,0,51,True
11,4346,verbal_working_memory,backward,1,38,True
12,4346,verbal_working_memory,backward,2,493,True
13,4346,verbal_working_memory,backward,3,526,False
14,4346,verbal_working_memory,backward,4,3814,False
15,4346,verbal_working_memory,backward,5,1795,True
16,4346,verbal_working_memory,backward,6,62972,False
17,4346,verbal_working_memory,backward,7,48527,False
18,4346,verbal_working_memory,practice,0,6F,True
19,4346,verbal_working_memory,practice,1,G4,True
20,4346,verbal_working_memory,practice,2,3W5,True
21,4346,verbal_working_memory,practice,3,T7L,True
22,4346,verbal_working_memory,practice,4,6GA2,True
23,4346,verbal_working_memory,practice,5,9PF4,True
24,4346,verbal_working_memory,digit letter,0,L2,True
25,4346,verbal_working_memory,digit letter,1,6P,True
26,4346,verbal_working_memory,digit letter,2,B5,True
27,4346,verbal_working_memory,digit letter,3,F7L,True
28,4346,verbal_working_memory,digit letter,4,R4D,True
29,4346,verbal_working_memory,digit letter,5,H18,True
30,4346,verbal_working_memory,digit letter,6,T9A3,True
31,4346,verbal_working_memory,digit letter,7,V1J5,True
32,4346,verbal_working_memory,digit letter,8,7N4L,False
33,4346,verbal_working_memory,digit letter,9,8D6G1,False
34,4346,verbal_working_memory,digit letter,10,K2C7S,False
35,4346,verbal_working_memory,digit letter,11,5P3Y9,False
0,4365,verbal_working_memory,forward,0,629,True
1,4365,verbal_working_memory,forward,1,375,True
2,4365,verbal_working_memory,forward,2,5417,True
3,4365,verbal_working_memory,forward,3,8396,True
4,4365,verbal_working_memory,forward,4,36925,True
5,4365,verbal_working_memory,forward,5,69471,True
6,4365,verbal_working_memory,forward,6,918427,True
7,4365,verbal_working_memory,forward,7,635482,True
8,4365,verbal_working_memory,forward,8,1285346,True
9,4365,verbal_working_memory,forward,9,2814975,True
10,4365,verbal_working_memory,forward,10,38295174,True
11,4365,verbal_working_memory,forward,11,59182647,True
12,4365,verbal_working_memory,backward,0,51,True
13,4365,verbal_working_memory,backward,1,38,True
14,4365,verbal_working_memory,backward,2,493,True
15,4365,verbal_working_memory,backward,3,526,True
16,4365,verbal_working_memory,backward,4,3814,False
17,4365,verbal_working_memory,backward,5,1795,True
18,4365,verbal_working_memory,backward,6,62972,True
19,4365,verbal_working_memory,backward,7,48527,False
20,4365,verbal_working_memory,backward,8,715286,False
21,4365,verbal_working_memory,backward,9,831964,False
22,4365,verbal_working_memory,practice,0,6F,True
23,4365,verbal_working_memory,practice,1,G4,True
24,4365,verbal_working_memory,practice,2,3W5,True
25,4365,verbal_working_memory,practice,3,T7L,True
26,4365,verbal_working_memory,practice,4,6GA2,True
27,4365,verbal_working_memory,practice,5,9PF4,True
28,4365,verbal_working_memory,digit letter,0,L2,True
29,4365,verbal_working_memory,digit letter,1,6P,True
30,4365,verbal_working_memory,digit letter,2,B5,True
31,4365,verbal_working_memory,digit letter,3,F7L,True
32,4365,verbal_working_memory,digit letter,4,R4D,True
33,4365,verbal_working_memory,digit letter,5,H18,True
34,4365,verbal_working_memory,digit letter,6,T9A3,True
35,4365,verbal_working_memory,digit letter,7,V1J5,True
36,4365,verbal_working_memory,digit letter,8,7N4L,True
37,4365,verbal_working_memory,digit letter,9,8D6G1,False
38,4365,verbal_working_memory,digit letter,10,K2C7S,False
39,4365,verbal_working_memory,digit letter,11,5P3Y9,False
0,4367,verbal_working_memory,forward,0,629,True
1,4367,verbal_working_memory,forward,1,375,True
2,4367,verbal_working_memory,forward,2,5417,True
3,4367,verbal_working_memory,forward,3,8396,True
4,4367,verbal_working_memory,forward,4,36925,True
5,4367,verbal_working_memory,forward,5,69471,False
6,4367,verbal_working_memory,forward,6,918427,False
7,4367,verbal_working_memory,forward,7,635482,False
8,4367,verbal_working_memory,backward,0,51,True
9,4367,verbal_working_memory,backward,1,38,True
10,4367,verbal_working_memory,backward,2,493,False
11,4367,verbal_working_memory,backward,3,526,False
12,4367,verbal_working_memory,practice,0,6F,True
13,4367,verbal_working_memory,practice,1,G4,False
14,4367,verbal_working_memory,practice,2,3W5,True
15,4367,verbal_working_memory,practice,3,T7L,False
16,4367,verbal_working_memory,practice,4,6GA2,False
17,4367,verbal_working_memory,practice,5,9PF4,True
18,4367,verbal_working_memory,digit letter,0,L2,True
19,4367,verbal_working_memory,digit letter,1,6P,True
20,4367,verbal_working_memory,digit letter,2,B5,True
21,4367,verbal_working_memory,digit letter,3,F7L,True
22,4367,verbal_working_memory,digit letter,4,R4D,False
23,4367,verbal_working_memory,digit letter,5,H18,False
24,4367,verbal_working_memory,digit letter,6,T9A3,True
25,4367,verbal_working_memory,digit letter,7,V1J5,False
